;living_region;count
0;МОСКОВСКАЯ;42,46 
1;МОСКВА;66,88 
2;КРАСНОДАРСКИЙ;25,85 
3;САНКТ-ПЕТЕРБУРГ;45,43 
4;ТАТАРСТАН;27,06 
5;СВЕРДЛОВСКАЯ;32,78 
6;БАШКОРТОСТАН;28,16 
7;САМАРСКАЯ;27,06 
8;MissingАЯ;26,62 
9;СТАВРОПОЛЬСКИЙ;22,00 
10;ХАНТЫ-МАНСИЙСКИЙ;61,93 
11;ИРКУТСКАЯ;32,45 
12;РОСТОВСКАЯ;23,32 
13;НИЖЕГОРОДСКАЯ;26,84 
14;ПЕРМСКИЙ;27,28 
15;ЛЕНИНГРАДСКАЯ;28,05 
16;КРАСНОЯРСКИЙ;29,26
17;КЕМЕРОВСКАЯ;17,49 
18;АСТРАХАНСКАЯ;27,39 
19;ВОЛОГОДСКАЯ;28,82 
20;ТЮМЕНСКАЯ;50,16 
21;ВОЛГОГРАДСКАЯ;23,65 
22;САРАТОВСКАЯ;23,43 
23;НОВОСИБИРСКАЯ;17,60 
24;ЯМАЛО-НЕНЕЦКИЙ;70,62 
25;КОМИ;39,38 
26;САХА;53,46 
27;АРХАНГЕЛЬСКАЯ;36,85 
28;ВОРОНЕЖСКАЯ;26,07 
29;БУРЯТИЯ;27,72 
30;ТВЕРСКАЯ;20,13 
31;ХАБАРОВСКИЙ;35,2 
32;ВЛАДИМИРСКАЯ;22,77 
33;МУРМАНСКАЯ;43,67 
34;ТУЛЬСКАЯ;25,52 
35;КУРГАНСКАЯ;22,77 
36;ОРЕНБУРГСКАЯ;26,07 
37;ПРИМОРСКИЙ;33,99 
38;КУРСКАЯ;22,77 
39;ЗАБАЙКАЛЬСКИЙ;25,30 
40;КАЛУЖСКАЯ;27,06 
41;УДМУРТСКАЯ;23,43 
42;ТАМБОВСКАЯ;21,45 
43;УЛЬЯНОВСКАЯ;22,88 
44;СМОЛЕНСКАЯ;20,02 
45;ПЕНЗЕНСКАЯ;22,99 
46;ЯРОСЛАВСКАЯ;26,62 
47;ОМСКАЯ;28,82 
48;ИВАНОВСКАЯ;21,12 
49;ЛИПЕЦКАЯ;24,64 
50;АМУРСКАЯ;34,54 
51;БРЯНСКАЯ;20,79 
52;ОРЛОВСКАЯ;16,83 
53;НОВГОРОДСКАЯ;27,39 
54;КАЛИНИНГРАДСКАЯ;28,82 
55;БЕЛГОРОДСКАЯ;27,28 
56;МОРДОВИЯ;20,90 
57;МАРИЙ ЭЛ;21,23 
58;РЯЗАНСКАЯ;21,34 
59;КАРЕЛИЯ;32,45 
60;САХАЛИНСКАЯ;51,26 
61;КИРОВСКАЯ;22,88 
62;ЧУВАШИЯ ЧУВАШСКАЯ;22,99 
63;КАБАРДИНО-БАЛКАРСКАЯ;18,92 
64;ТОМСКАЯ;32,23 
65;КАРАЧАЕВО-ЧЕРКЕССКАЯ;18,04 
66;АЛТАЙСКИЙ;20,90 
67;ПСКОВСКАЯ;24,31 
68;ТЫВА;30,58 
69;АДЫГЕЯ;20,68 
70;КОСТРОМСКАЯ;22,55 
71;ХАКАСИЯ;32,01 
72;КАМЧАТСКИЙ;50,60 
73;СЕВЕРНАЯ ОСЕТИЯ - АЛАНИЯ;18,59 
74;КАЛМЫКИЯ;20,13 
75;ЧУВАШСКАЯ;22,99 
76;ЕВРЕЙСКАЯ АВТОНОМНАЯ;31,24 
77;Missing;36,20 
78;НЕНЕЦКИЙ;59,51 
79;МАГАДАНСКАЯ;55,88 
80;ДАГЕСТАН;17,27 
81;АЛТАЙ;20,90 
82;ПЕРМСКАЯ;27,28 
83;ЧУКОТСКИЙ;56,10 
84;ЧЕЧЕНСКАЯ;21,01 
85;ЧИТИНСКАЯ;36,20 
86;ГОРЬКОВСКАЯ;36,20 
87;ИНГУШЕТИЯ;20,79 


