;living_region;count
0;МОСКОВСКАЯ;4,99 
1;МОСКВА;8,41 
2;КРАСНОДАРСКИЙ;3,76 
3;САНКТ-ПЕТЕРБУРГ;3.57 
4;ТАТАРСТАН;2,64 
5;СВЕРДЛОВСКАЯ;2,95 
6;БАШКОРТОСТАН;2,78 
7;САМАРСКАЯ;2,19 
8;MissingАЯ;2,39 
9;СТАВРОПОЛЬСКИЙ;1,91 
10;ХАНТЫ-МАНСИЙСКИЙ;1,11 
11;ИРКУТСКАЯ;1,65 
12;РОСТОВСКАЯ;2,89 
13;НИЖЕГОРОДСКАЯ;2,22 
14;ПЕРМСКИЙ;1,80 
15;ЛЕНИНГРАДСКАЯ;1,21 
16;КРАСНОЯРСКИЙ;1,96 
17;КЕМЕРОВСКАЯ;1,85
18;АСТРАХАНСКАЯ;0,7 
19;ВОЛОГОДСКАЯ;0,81 
20;ТЮМЕНСКАЯ;2,47
21;ВОЛГОГРАДСКАЯ;1,74 
22;САРАТОВСКАЯ;1,70 
23;НОВОСИБИРСКАЯ;1,88 
24;ЯМАЛО-НЕНЕЦКИЙ;0,36 
25;КОМИ;0,58 
26;САХА;0,65 
27;АРХАНГЕЛЬСКАЯ;0,8 
28;ВОРОНЕЖСКАЯ;1,59 
29;БУРЯТИЯ;0,67 
30;ТВЕРСКАЯ;0,89 
31;ХАБАРОВСКИЙ;0,91 
32;ВЛАДИМИРСКАЯ;0,95 
33;МУРМАНСКАЯ;0,52
34;ТУЛЬСКАЯ;1,03 
35;КУРГАНСКАЯ;0,59 
36;ОРЕНБУРГСКАЯ;1,36 
37;ПРИМОРСКИЙ;1,32 
38;КУРСКАЯ;0,76 
39;ЗАБАЙКАЛЬСКИЙ;0,74 
40;КАЛУЖСКАЯ;0,74 
41;УДМУРТСКАЯ;1,04 
42;ТАМБОВСКАЯ;0,72 
43;УЛЬЯНОВСКАЯ;0,86 
44;СМОЛЕНСКАЯ;0,65 
45;ПЕНЗЕНСКАЯ;0,92 
46;ЯРОСЛАВСКАЯ;0,87 
47;ЧУВАШСКАЯ;0,84 
48;ОМСКАЯ;1,35 
49;ИВАНОВСКАЯ;0,70 
50;ЛИПЕЦКАЯ;0,79 
51;АМУРСКАЯ;0,55 
52;БРЯНСКАЯ;0,84 
53;ОРЛОВСКАЯ;0,52 
54;НОВГОРОДСКАЯ;0,42 
55;КАЛИНИНГРАДСКАЯ;0,67 
56;БЕЛГОРОДСКАЯ;1,06 
57;МОРДОВИЯ;0,55 
58;МАРИЙ ЭЛ;0,47 
59;РЯЗАНСКАЯ;0,77 
60;КАРЕЛИЯ;0,43 
61;САХАЛИНСКАЯ;0,33 
62;КИРОВСКАЯ;0,89 
63;КАБАРДИНО-БАЛКАРСКАЯ;0,59 
64;ТОМСКАЯ;0,73 
65;КАРАЧАЕВО-ЧЕРКЕССКАЯ;0,32 
66;АЛТАЙСКИЙ;1,62 
67;ПСКОВСКАЯ;0,44 
68;ТЫВА;0,22 
69;АДЫГЕЯ;0,31 
70;КОСТРОМСКАЯ;0,44 
71;ХАКАСИЯ;0,37 
72;КАМЧАТСКИЙ;0,22 
73;СЕВЕРНАЯ ОСЕТИЯ - АЛАНИЯ;0,48 
74;КАЛМЫКИЯ;0,19 
75;ЕВРЕЙСКАЯ АВТОНОМНАЯ;0,11 
76;Missing; 0,11
77;НЕНЕЦКИЙ;0,03 
78;МАГАДАНСКАЯ;0,10 
79;ДАГЕСТАН;2,06 
80;АЛТАЙ; 1,62
81;ЧУКОТСКИЙ;0,03 
82;ЧЕЧЕНСКАЯ;0,95 
83;ЧИТИНСКАЯ;0,10 
84;ГОРЬКОВСКАЯ;0,10 
85;ИНГУШЕТИЯ;0,10 
 
